iter	Logloss
0	0.6890011061
1	0.6848031032
2	0.6807385426
3	0.6769023143
4	0.6733773742
5	0.6696846112
6	0.6663719599
7	0.6632774635
8	0.6602820142
9	0.6572987013
10	0.6546346524
11	0.6520698342
12	0.6496205551
13	0.6473421163
14	0.6454648681
15	0.643395741
16	0.6414076217
17	0.6394793724
18	0.6376760199
19	0.6360448015
20	0.6346425733
21	0.6330319928
22	0.6316460875
23	0.6303132783
24	0.6290818538
25	0.6278780322
26	0.6266385032
27	0.6254646185
28	0.6243882628
29	0.6233464236
30	0.622318827
31	0.6213594474
32	0.6204224147
33	0.6195700139
34	0.6187656076
35	0.6179563166
36	0.6170868063
37	0.6162864284
38	0.6155456227
39	0.6148194271
40	0.6141636318
41	0.613431118
42	0.6127894329
43	0.6121862596
44	0.6115804767
45	0.6109489065
46	0.6104094514
47	0.6098342853
48	0.6093125571
49	0.6087670007
50	0.6082294863
51	0.6077354566
52	0.6071888086
53	0.6067192577
54	0.6063043061
55	0.6058287347
56	0.6053455072
57	0.6049332167
58	0.6044428367
59	0.6040612255
60	0.6036921477
61	0.6032425032
62	0.6028479873
63	0.6025322114
64	0.6021745643
65	0.6018358938
66	0.6014266907
67	0.6011036888
68	0.600744465
69	0.6003967859
70	0.6000943116
71	0.5998034922
72	0.5995060534
73	0.5992026087
74	0.5988894608
75	0.5986259504
76	0.5983104501
77	0.5980091079
78	0.5977736929
79	0.5975799469
80	0.5972826256
81	0.5970227282
82	0.5967787382
83	0.5965107474
84	0.5962942133
85	0.5960633081
86	0.595807972
87	0.5955887475
88	0.5953573902
89	0.5951366036
90	0.5948881737
91	0.5946682325
92	0.5944193615
93	0.594182627
94	0.5939750575
95	0.5937525471
96	0.5935119864
97	0.5933168143
98	0.5930994533
99	0.592876002
100	0.5927065987
101	0.5925473288
102	0.5923316107
103	0.5921233539
104	0.5919310671
105	0.5917515636
106	0.5915534511
107	0.5913982095
108	0.5912149276
109	0.5910228429
110	0.590844806
111	0.590661241
112	0.5904937527
113	0.5903182445
114	0.5901351501
115	0.589985962
116	0.5898397768
117	0.5896823997
118	0.5895025508
119	0.58934986
120	0.5892145138
121	0.5890235942
122	0.5888943751
123	0.5887512516
124	0.5886008727
125	0.5884378611
126	0.588276169
127	0.5881345929
128	0.588012824
129	0.5878749527
130	0.5877575356
131	0.5875724196
132	0.5874251943
133	0.5872848678
134	0.587154546
135	0.5870321706
136	0.5869052266
137	0.5867536054
138	0.5866293151
139	0.5865028379
140	0.5863717883
141	0.5862580871
142	0.5861388947
143	0.586036819
144	0.5859242241
145	0.5858221705
146	0.5857058046
147	0.5856045044
148	0.5854809051
149	0.5853879484
150	0.5852625885
151	0.5851425801
152	0.5850005078
153	0.584841848
154	0.5847259672
155	0.5845973288
156	0.5844644673
157	0.5843308596
158	0.5842459117
159	0.5841138919
160	0.5839993122
161	0.5838792597
162	0.5837514667
163	0.5836538861
164	0.583546051
165	0.5834151485
166	0.5833199092
167	0.5832315064
168	0.5831198083
169	0.5830359447
170	0.582939147
171	0.5828460579
172	0.5827228262
173	0.5826405357
174	0.5825294734
175	0.5824418755
176	0.5823096094
177	0.5822056188
178	0.5821186972
179	0.5820282655
180	0.5819107638
181	0.5818090043
182	0.5816985705
183	0.5816068377
184	0.5815070556
185	0.581422523
186	0.5813253578
187	0.5812252081
188	0.581128903
189	0.5810353655
190	0.5809045916
191	0.5808057798
192	0.580746564
193	0.580674087
194	0.5805985521
195	0.5805021293
196	0.5804065335
197	0.5803043476
198	0.5802109241
199	0.5801118366
200	0.5800045454
201	0.5799266802
202	0.5798295628
203	0.5797524988
204	0.5796411425
205	0.5795320577
206	0.5794379726
207	0.5793354926
208	0.5792686575
209	0.5791607673
210	0.5790739008
211	0.5789854244
212	0.5788702604
213	0.57879524
214	0.5786839535
215	0.5785835502
216	0.5784783798
217	0.5783863162
218	0.5783030774
219	0.5782325301
220	0.5781417713
221	0.5780660599
222	0.5779420121
223	0.5778756549
224	0.5777943274
225	0.5777035538
226	0.5776107478
227	0.5775110428
228	0.5774225628
229	0.5773358359
230	0.5772682915
231	0.5771700898
232	0.5770768316
233	0.5769955225
234	0.5768888819
235	0.5768386747
236	0.5767606992
237	0.5766743326
238	0.5766116913
239	0.576521855
240	0.5764348084
241	0.576378103
242	0.576288671
243	0.5761948394
244	0.5760972442
245	0.5759892584
246	0.5759119592
247	0.5758252581
248	0.5757662408
249	0.5756653082
250	0.5755779088
251	0.5755012675
252	0.5754049587
253	0.5753278359
254	0.575245255
255	0.5751577711
256	0.575066652
257	0.5749840565
258	0.5749141119
259	0.5748311819
260	0.5747626561
261	0.5746798694
262	0.5746005928
263	0.5745382381
264	0.574446928
265	0.5743783176
266	0.5743099536
267	0.5742158243
268	0.5741381833
269	0.5740783905
270	0.5739849522
271	0.5739147724
272	0.5738523737
273	0.5737745232
274	0.5737048579
275	0.5736614725
276	0.5735831368
277	0.5734959689
278	0.5734271858
279	0.5733416793
280	0.5732628143
281	0.5731612643
282	0.5730906104
283	0.5730088528
284	0.5729220709
285	0.5728520712
286	0.5727778153
287	0.5726961827
288	0.5726307884
289	0.5725759207
290	0.5725389343
291	0.5724520788
292	0.5723716775
293	0.572313388
294	0.5722286165
295	0.5721798942
296	0.5721140662
297	0.5720323748
298	0.5719452621
299	0.571893151
300	0.5718090301
