iter	Logloss
301	0.571752321
302	0.5716760546
303	0.5715989944
304	0.5715258191
305	0.5714568375
306	0.5713757967
307	0.5713033528
308	0.5711991601
309	0.5711300499
310	0.5710535372
311	0.5709780133
312	0.5709002694
313	0.5708297147
314	0.5707729946
315	0.5706814014
316	0.5705988316
317	0.5705131964
318	0.5704502205
319	0.5704011822
320	0.5703443408
321	0.5702761715
322	0.5702137066
323	0.5701190444
324	0.5700468026
325	0.5699790671
326	0.56990598
327	0.5698379688
328	0.5697250872
329	0.5696479607
330	0.5695652328
331	0.5694880108
332	0.5694278321
333	0.5693666462
334	0.5692856678
335	0.569219634
336	0.5691382955
337	0.5690371571
338	0.5689631842
339	0.5688903066
340	0.5688244051
341	0.5687441876
342	0.5686692003
343	0.568612969
344	0.5685350891
345	0.5684753624
346	0.5683958138
347	0.5683101749
348	0.5682414139
349	0.5681639272
350	0.5680916929
351	0.5680386041
352	0.5679784217
353	0.5679140014
354	0.5678388266
355	0.5677669966
356	0.567673834
357	0.5675885112
358	0.567526208
359	0.5674491183
360	0.5673751124
361	0.5673055354
362	0.5672083224
363	0.5671327139
364	0.5670577707
365	0.5669920824
366	0.5669050027
367	0.5668190441
368	0.566749026
369	0.5666744357
370	0.5665892158
371	0.5665171983
372	0.5664351026
373	0.5663688482
374	0.566288752
375	0.5662275882
376	0.5661381709
377	0.566066826
378	0.565981132
379	0.5659041857
380	0.5658362443
381	0.5657410124
382	0.5656697447
383	0.5655885421
384	0.5654990623
385	0.5654142394
386	0.5653253918
387	0.565252279
388	0.565156154
389	0.5650640904
390	0.5649933556
391	0.5648966572
392	0.5647967464
393	0.5647230676
394	0.5646383659
395	0.5645706304
396	0.5645105913
397	0.5644343028
398	0.5643696694
399	0.5642973174
